star    teff 	logg 	[Fe/H] 	turb 	[C/Fe] 	[O/Fe] 	[Na/Fe] 	[Mg/Fe] 	[Al/Fe] 	[Si/Fe] 	[S/Fe] 	[Ca/Fe] 	[Ti/Fe] 	[Cr/Fe] 	[Ni/Fe] 	[Zn/Fe] 	[Y/Fe]
HD2071 	    5724 	4.490 	-0.084 	0.96 	-0.022 	-0.022 	-0.032 	0.001 	-0.002 	0.001 	-0.007 	0.024 	0.019 	0.005 	-0.029 	-0.026 	0.040
HD8406 	    5730 	4.479 	-0.105 	0.95 	-0.036 	-0.028 	-0.059 	0.000 	-0.020 	-0.010 	-0.021 	0.031 	0.009 	0.010 	-0.041 	-0.044 	0.050
HD20782 	5776 	4.345 	-0.058 	1.04 	-0.019 	0.024 	-0.086 	0.011 	0.015 	-0.006 	-0.013 	0.015 	0.028 	-0.004 	-0.042 	-0.019 	-0.110
HD27063 	5779 	4.469 	0.064 	0.99 	-0.082 	-0.078 	-0.041 	-0.018 	-0.029 	-0.019 	-0.039 	0.023 	-0.005 	0.016 	-0.022 	-0.055 	0.067
HD28471 	5754 	4.380 	-0.054 	1.02 	-0.023 	0.006 	-0.013 	0.037 	0.065 	0.022 	-0.010 	0.026 	0.046 	-0.007 	-0.005 	0.018 	-0.067
HD38277 	5860 	4.270 	-0.070 	1.17 	-0.012 	0.049 	-0.078 	0.012 	0.012 	0.006 	-0.017 	0.007 	0.023 	-0.018 	-0.042 	-0.016 	-0.129
HD45184 	5871 	4.445 	0.047 	1.06 	-0.069 	-0.055 	-0.031 	-0.009 	-0.015 	-0.005 	-0.045 	0.015 	0.011 	-0.002 	-0.020 	-0.030 	0.040
HD45289* 	5718 	4.284 	-0.020 	1.06 	0.058 	0.146 	-0.009 	0.100 	0.128 	0.055 	0.056 	0.049 	0.100 	0.002 	0.006 	0.096 	-0.094
HD71334 	5701 	4.374 	-0.075 	0.98 	-0.024 	0.031 	-0.034 	0.039 	0.063 	0.019 	-0.003 	0.034 	0.041 	0.000 	-0.014 	-0.007 	-0.076
HD78429 	5756 	4.272 	0.078 	1.05 	-0.025 	0.004 	-0.055 	0.022 	0.034 	-0.002 	0.001 	0.006 	0.019 	0.005 	-0.020 	0.014 	-0.101
HD88084 	5768 	4.424 	-0.091 	1.02 	0.017 	-0.010 	0.003 	0.028 	0.053 	0.021 	0.008 	0.019 	0.035 	-0.009 	-0.003 	0.009 	-0.044
HD92719 	5813 	4.488 	-0.112 	1.00 	-0.060 	-0.009 	-0.050 	0.002 	-0.014 	0.003 	-0.062 	0.031 	0.021 	-0.001 	-0.044 	-0.046 	0.042
HD96116 	5846 	4.503 	0.006 	1.02 	-0.088 	-0.046 	-0.100 	-0.041 	-0.063 	-0.036 	-0.052 	0.019 	-0.019 	0.013 	-0.056 	-0.085 	0.095
HD96423 	5714 	4.359 	0.113 	0.99 	-0.056 	-0.076 	0.008 	0.021 	0.056 	0.005 	-0.035 	0.005 	0.028 	0.005 	0.021 	-0.014 	-0.033
HD134664 	5853 	4.452 	0.093 	1.01 	-0.116 	-0.087 	-0.058 	-0.022 	-0.035 	-0.019 	-0.048 	0.009 	0.004 	0.006 	-0.022 	-0.055 	0.050
HD146233 	5809 	4.434 	0.046 	1.02 	-0.066 	-0.028 	-0.028 	-0.010 	-0.020 	-0.007 	-0.029 	0.010 	0.009 	0.010 	-0.013 	-0.036 	0.041
HD183658 	5809 	4.402 	0.035 	1.04 	-0.002 	-0.040 	0.024 	0.009 	0.018 	0.009 	0.006 	0.002 	0.008 	-0.005 	0.013 	0.008 	-0.025
HD208704 	5828 	4.346 	-0.091 	1.08 	-0.009 	0.033 	-0.062 	0.017 	0.023 	0.005 	-0.020 	0.015 	0.024 	-0.012 	-0.033 	0.000 	-0.111
HD210918* 	5748 	4.319 	-0.095 	1.07 	0.054 	0.146 	-0.057 	0.072 	0.102 	0.029 	0.032 	0.043 	0.080 	-0.012 	-0.029 	0.034 	-0.077
HD220507* 	5690 	4.247 	0.013 	1.07 	0.102 	0.159 	0.036 	0.126 	0.153 	0.071 	0.084 	0.051 	0.114 	0.004 	0.017 	0.121 	-0.085
HD222582 	5784 	4.361 	-0.004 	1.07 	-0.001 	0.043 	0.014 	0.037 	0.058 	0.028 	-0.021 	0.015 	0.041 	0.000 	0.005 	0.025 	-0.065 
